Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,constraint_violation,runtime,threshold,nu,group_sparsity,alpha
SR3,10.0,0.01,0.08,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.5931648084727783,-0.49427894100159386,20.143631445651334,0.21394193669294595,2.072777567362732,0.4295948996191045,0.2705609944855469,0.2670390751410103,0.5,6.0,6.0,0.0,0.10518070604288852,1.0165762901306152,0.03906939937054617,0.03333333333333333,,
MIOSR,10.0,0.01,0.08,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.6198308549558713,0.5957003868037641,6.023777950489952,0.9911513812514123,0.30466694181156767,0.05797156214666294,0.0572083442615603,0.0681377502225834,1.0,6.0,0.0,0.0,0.00022816276727451873,11.404215097427368,,,6.0,0.0001
Con-SR3,10.0,0.01,0.08,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.6080276689578832,0.3526256952482605,10.253143568569223,0.8106493082726255,1.3820508307515584,0.15280956485411878,0.12307237324420976,0.15041806074266087,0.75,6.0,2.0,0.0,5.551115123125783e-17,1.3514680862426758,0.06866488450043001,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.08,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.6198269267216252,0.5967256411217869,6.01066028903073,0.9922582501118125,0.2970050442250192,0.057653819044715504,0.057432321393544636,0.06966951185505288,1.0,6.0,0.0,0.0,0.0,10.616622686386108,,,6.0,0.0001
SR3,10.0,0.01,0.09000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.5375419047702892,-0.7346689083100479,26.24849931660609,0.0041998794140017835,2.335265009249706,0.49745082221355597,0.30820331002212964,0.30826520079139474,0.46153846153846156,6.0,7.0,0.0,0.11675353343082956,1.0000853538513184,0.019306977288832496,0.03333333333333333,,
MIOSR,10.0,0.01,0.09000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.5597381812896638,0.5356914845244938,7.612796557355506,0.9864771847157521,0.37858340018707637,0.07484744458684077,0.07391209133728226,0.08735380317122798,1.0,6.0,0.0,0.0,0.0002714006625016742,10.912729978561401,,,6.0,0.0001
Con-SR3,10.0,0.01,0.09000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.5489143701092305,0.17482945149589812,14.009811994324714,0.7240371456421542,1.5635018326580212,0.2050050391258933,0.15225396011803874,0.17932690825439568,0.6666666666666666,6.0,3.0,0.0,0.011858130806756432,1.3017892837524414,0.0517947467923121,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.09000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.5597327774194925,0.5369848671481245,7.594217703744905,0.9880283630263806,0.3708639818168099,0.07449447330334125,0.07418328163203289,0.08923558187520964,1.0,6.0,0.0,0.0,0.0,10.514347553253174,,,6.0,0.0001
SR3,10.0,0.01,0.1,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.47860627489960017,-0.9016678681990866,32.085516146150404,-0.20252939449667492,2.5706342934618367,0.5527227778202638,0.34343785378917796,0.3457312916374491,0.46153846153846156,6.0,7.0,0.0,0.12699538389711462,1.0023691654205322,0.016768329368110083,0.03333333333333333,,
MIOSR,10.0,0.01,0.1,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.5036316706670625,0.4801748642685639,9.381800501262077,0.9804525493734015,0.4573709425418036,0.09336527657969297,0.09228796476729693,0.10846532332877601,1.0,6.0,0.0,0.0,0.0002988512231406175,10.63689661026001,,,6.0,0.0001
